Era,Series Title,Parent Authority,Result,Authority ID,Resolved Authority ID,Publishing Era,Status
Rebirth,Super Sons,Superman,Added,SER-01502,SER-01502,Rebirth,Assigned
Rebirth,Superwoman,Superman,Added,SER-01503,SER-01503,Rebirth,Assigned
Rebirth,Titans,Robin / Teen Titans,Already present,,SER-00609,Rebirth,Assigned
Rebirth,Trinity,DC Universe,Added,SER-01504,SER-01504,Rebirth,Assigned
Rebirth,DC Universe: Rebirth,DC Universe,Added,SER-01505,SER-01505,Rebirth,Assigned
Rebirth,Batman: Night of the Monster Men,Batman,Added,SER-01506,SER-01506,Rebirth,Assigned
Rebirth,Justice League vs. Suicide Squad,Justice League,Added,SER-01507,SER-01507,Rebirth,Assigned
Rebirth,Batman/The Flash: The Button,Batman,Added,SER-01508,SER-01508,Rebirth,Assigned
Rebirth,Superman Reborn,Superman,Added,SER-01509,SER-01509,Rebirth,Assigned
Rebirth,Dark Nights: Metal,DC Universe,Added,SER-01510,SER-01510,Rebirth,Assigned
Rebirth,Doomsday Clock,Watchmen Universe,Already present,,SER-00953,Rebirth,Assigned
Rebirth,Heroes in Crisis,DC Universe,Added,SER-01511,SER-01511,Rebirth,Assigned
Rebirth,Batman: The Devastator,Batman,Added,SER-01512,SER-01512,Rebirth,Assigned
Rebirth,Batman: The Drowned,Batman,Added,SER-01513,SER-01513,Rebirth,Assigned
Rebirth,Batman: The Merciless,Batman,Added,SER-01514,SER-01514,Rebirth,Assigned
Rebirth,Batman: The Murder Machine,Batman,Added,SER-01515,SER-01515,Rebirth,Assigned
Rebirth,Batman: The Red Death,Batman,Added,SER-01516,SER-01516,Rebirth,Assigned
Rebirth,The Batman Who Laughs,Batman,Added,SER-01517,SER-01517,Rebirth,Assigned
Rebirth,The Batman Who Laughs: The Grim Knight,Batman,Added,SER-01518,SER-01518,Rebirth,Assigned
Rebirth,Batman and the Signal,Batman,Added,SER-01519,SER-01519,Rebirth,Assigned
Rebirth,Batman: Prelude to the Wedding,Batman,Added,SER-01520,SER-01520,Rebirth,Assigned
Rebirth,Batman: White Knight,Batman,Already present,,SER-00088,Rebirth,Assigned
Rebirth,Batman: Creature of the Night,Batman,Already present,,SER-01029,Rebirth,Assigned
Rebirth,The Man of Steel,Superman,Already present,,SER-01869,Rebirth,Created exact-title authority
Rebirth,Action Comics Special,Superman,Added,SER-01521,SER-01521,Rebirth,Assigned
Rebirth,Superman Special,Superman,Added,SER-01522,SER-01522,Rebirth,Assigned
Rebirth,Adventures of the Super Sons,Superman,Added,SER-01523,SER-01523,Rebirth,Assigned
Rebirth,Super Sons of Tomorrow,Superman,Added,SER-01524,SER-01524,Rebirth,Assigned
Rebirth,Raven,Raven,Added,SER-01525,SER-01525,Rebirth,Assigned
Rebirth,Raven: Daughter of Darkness,Raven,Added,SER-01526,SER-01526,Rebirth,Assigned
Rebirth,Plastic Man,Plastic Man,Already present,,SER-00564,Rebirth,Assigned
Rebirth,Mister Miracle,Mister Miracle / New Gods,Already present,,SER-00505,Rebirth,Assigned
Rebirth,Bug! The Adventures of Forager,DC Universe,Added,SER-01527,SER-01527,Rebirth,Assigned
Rebirth,Deadman: Dark Mansion of Forbidden Love,DC Universe,Added,SER-01528,SER-01528,Rebirth,Assigned
Rebirth,Mystik U,DC Universe,Added,SER-01529,SER-01529,Rebirth,Assigned
Rebirth,Gotham City Garage,DC Universe,Added,SER-01530,SER-01530,Rebirth,Assigned
Rebirth,Electric Warriors,DC Universe,Added,SER-01531,SER-01531,Rebirth,Assigned
Rebirth,Freedom Fighters,Freedom Fighters,Already present,,SER-00283,Rebirth,Assigned
Rebirth,The Wild Storm,DC Universe,Added,SER-01532,SER-01532,Rebirth,Assigned
Rebirth,The Wild Storm: Michael Cray,DC Universe,Added,SER-01533,SER-01533,Rebirth,Assigned
Rebirth,Damage,DC Universe,Added,SER-01534,SER-01534,Rebirth,Assigned
Rebirth,The Curse of Brimstone,DC Universe,Added,SER-01535,SER-01535,Rebirth,Assigned
Rebirth,The Immortal Men,DC Universe,Added,SER-01536,SER-01536,Rebirth,Assigned
Rebirth,New Challengers,Challengers of the Unknown,Added,SER-01537,SER-01537,Rebirth,Assigned
